model,dataset,task,lora_rank,lora_alpha,lora_lr,epochs,trainable_params,total_params,trainable_pct,peak_mem_mb,train_time_s,metric_primary,value_primary,metric_secondary,value_secondary
microsoft/Phi-4-mini-instruct,BBBP,classification,8,16,0.0001,3,3670016,3839691776,0.0956,8285.4,699.9,roc_auc,0.6993,f1,0.7143
microsoft/Phi-4-mini-instruct,BBBP,classification,8,16,0.0005,3,3670016,3839691776,0.0956,8286.7,706.2,roc_auc,0.6381,f1,0.6966
microsoft/Phi-4-mini-instruct,BBBP,classification,16,16,0.0001,3,7340032,3843361792,0.191,8327.9,718.9,roc_auc,0.6924,f1,0.7165
microsoft/Phi-4-mini-instruct,BBBP,classification,16,16,0.0005,3,7340032,3843361792,0.191,8328.9,715.5,roc_auc,0.609,f1,0.7059
microsoft/Phi-4-mini-instruct,BACE,classification,8,16,0.0001,3,3670016,3839691776,0.0956,8069.0,556.3,roc_auc,0.7959,f1,0.5691
microsoft/Phi-4-mini-instruct,ESOL,regression,8,16,0.0001,3,3670016,3839691776,0.0956,7887.8,383.7,rmse,1.8907,mae,1.3553
HuggingFaceTB/SmolLM3-3B,BBBP,classification,8,16,0.0001,3,1916928,3077015552,0.0623,6479.0,807.0,roc_auc,0.669,f1,0.7059
HuggingFaceTB/SmolLM3-3B,BBBP,classification,8,16,0.0005,3,1916928,3077015552,0.0623,6479.6,838.7,roc_auc,0.6772,f1,0.7007
HuggingFaceTB/SmolLM3-3B,BBBP,classification,16,16,0.0001,3,3833856,3078932480,0.1245,6502.6,829.8,roc_auc,0.6682,f1,0.6742
HuggingFaceTB/SmolLM3-3B,BBBP,classification,16,16,0.0005,3,3833856,3078932480,0.1245,6502.0,814.1,roc_auc,0.634,f1,0.6912
HuggingFaceTB/SmolLM3-3B,BACE,classification,8,16,0.0005,3,1916928,3077015552,0.0623,6316.1,608.4,roc_auc,0.8453,f1,0.7023
HuggingFaceTB/SmolLM3-3B,ESOL,regression,8,16,0.0005,3,1916928,3077015552,0.0623,6239.3,448.8,rmse,1.7856,mae,1.2613
gpt2,BBBP,classification,8,16,0.0001,3,294912,124734720,0.2364,1936.0,45.5,roc_auc,0.6333,f1,0.7016
gpt2,BBBP,classification,8,16,0.0005,3,294912,124734720,0.2364,1939.1,34.4,roc_auc,0.6484,f1,0.6781
gpt2,BBBP,classification,16,16,0.0001,3,589824,125029632,0.4717,1945.1,38.0,roc_auc,0.629,f1,0.7016
gpt2,BBBP,classification,16,16,0.0005,3,589824,125029632,0.4717,1939.9,34.8,roc_auc,0.6526,f1,0.6735
gpt2,BACE,classification,16,16,0.0005,3,589824,125029632,0.4717,1497.5,26.9,roc_auc,0.7883,f1,0.7662
gpt2,ESOL,regression,16,16,0.0005,3,589824,125029632,0.4717,1194.9,14.3,rmse,2.0328,mae,1.5598
